,title,gross,budget,genres,actor_1_name,language,country,title_year,content_rating,imdb_score,movie_facebook_likes
0,Avatar,760505847.0,237000000.0,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,English,USA,2009.0,PG-13,7.9,33000
1,Pirates of the Caribbean: At World's End,309404152.0,300000000.0,Action|Adventure|Fantasy,Johnny Depp,English,USA,2007.0,PG-13,7.1,0
2,Spectre,200074175.0,245000000.0,Action|Adventure|Thriller,Christoph Waltz,English,UK,2015.0,PG-13,6.8,85000
3,The Dark Knight Rises,448130642.0,250000000.0,Action|Thriller,Tom Hardy,English,USA,2012.0,PG-13,8.5,164000
5,John Carter,73058679.0,263700000.0,Action|Adventure|Sci-Fi,Daryl Sabara,English,USA,2012.0,PG-13,6.6,24000
6,Spider-Man 3,336530303.0,258000000.0,Action|Adventure|Romance,J.K. Simmons,English,USA,2007.0,PG-13,6.2,0
7,Tangled,200807262.0,260000000.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,English,USA,2010.0,PG,7.8,29000
8,Avengers: Age of Ultron,458991599.0,250000000.0,Action|Adventure|Sci-Fi,Chris Hemsworth,English,USA,2015.0,PG-13,7.5,118000
9,Harry Potter and the Half-Blood Prince,301956980.0,250000000.0,Adventure|Family|Fantasy|Mystery,Alan Rickman,English,UK,2009.0,PG,7.5,10000
10,Batman v Superman: Dawn of Justice,330249062.0,250000000.0,Action|Adventure|Sci-Fi,Henry Cavill,English,USA,2016.0,PG-13,6.9,197000
11,Superman Returns,200069408.0,209000000.0,Action|Adventure|Sci-Fi,Kevin Spacey,English,USA,2006.0,PG-13,6.1,0
12,Quantum of Solace,168368427.0,200000000.0,Action|Adventure,Giancarlo Giannini,English,UK,2008.0,PG-13,6.7,0
13,Pirates of the Caribbean: Dead Man's Chest,423032628.0,225000000.0,Action|Adventure|Fantasy,Johnny Depp,English,USA,2006.0,PG-13,7.3,5000
14,The Lone Ranger,89289910.0,215000000.0,Action|Adventure|Western,Johnny Depp,English,USA,2013.0,PG-13,6.5,48000
15,Man of Steel,291021565.0,225000000.0,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,English,USA,2013.0,PG-13,7.2,118000
16,The Chronicles of Narnia: Prince Caspian,141614023.0,225000000.0,Action|Adventure|Family|Fantasy,Peter Dinklage,English,USA,2008.0,PG,6.6,0
17,The Avengers,623279547.0,220000000.0,Action|Adventure|Sci-Fi,Chris Hemsworth,English,USA,2012.0,PG-13,8.1,123000
18,Pirates of the Caribbean: On Stranger Tides,241063875.0,250000000.0,Action|Adventure|Fantasy,Johnny Depp,English,USA,2011.0,PG-13,6.7,58000
19,Men in Black 3,179020854.0,225000000.0,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,English,USA,2012.0,PG-13,6.8,40000
20,The Hobbit: The Battle of the Five Armies,255108370.0,250000000.0,Adventure|Fantasy,Aidan Turner,English,New Zealand,2014.0,PG-13,7.5,65000
21,The Amazing Spider-Man,262030663.0,230000000.0,Action|Adventure|Fantasy,Emma Stone,English,USA,2012.0,PG-13,7.0,56000
22,Robin Hood,105219735.0,200000000.0,Action|Adventure|Drama|History,Mark Addy,English,USA,2010.0,PG-13,6.7,17000
23,The Hobbit: The Desolation of Smaug,258355354.0,225000000.0,Adventure|Fantasy,Aidan Turner,English,USA,2013.0,PG-13,7.9,83000
24,The Golden Compass,70083519.0,180000000.0,Adventure|Family|Fantasy,Christopher Lee,English,USA,2007.0,PG-13,6.1,0
25,King Kong,218051260.0,207000000.0,Action|Adventure|Drama|Romance,Naomi Watts,English,New Zealand,2005.0,PG-13,7.2,0
